Month,Sentiment_Score
April,0.9011565789473683
August,0.8532426666666667
December,0.8787782051282053
February,0.804982
January,0.7842
July,0.8388589743589743
June,0.7948333333333333
March,0.8367525252525252
May,0.858237037037037
November,0.8141613636363636
October,0.852578205128205
September,0.8713013333333334
