YEAR,REGION,COUNTRY,MONTH,ARRIVALS,HAS_EVENT,Avg_Temperature_C,Avg_Rainfall_mm,MONTH_NUM,MONTH_SIN,MONTH_COS,DATE
2018,Asia & Oceania,AFGHANISTAN,January,83,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,ALBANIA,January,14,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,ALGERIA,January,38,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,ANDORRA,January,4,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,ANGOLA,January,0,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,ANTIGUA & BARBUDA,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,ARGENTINA,January,236,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,ARMENIA,January,180,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,AUSTRALIA,January,9452,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,AUSTRIA,January,2833,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,AZERBAIJAN,January,78,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,BAHAMAS,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Middle East,BAHRAIN,January,588,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,BANGLADESH,January,982,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,BARBADOS,January,4,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,BELARUS,January,802,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,BELGIUM,January,1275,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,BELIZE,January,2,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,BENIN,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,BHUTAN,January,110,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
