Model,Segment,MAE,RMSE,R2,MedAE,MAPE(%),SMAPE(%)
Region_RF,Africa,5459.389999999999,5659.9895249108,-13.362194404566868,5459.389999999999,34.310813359300994,41.76245922104647
Region_RF,America,18879.089999999997,21058.25919272768,-4.0953585228851646,18879.089999999997,18.281899119686823,20.514354859460603
Region_RF,Asia & Oceania,330756.085,335435.5725329788,-35.092814526340526,330756.085,39.68124805792319,49.663719483156356
Region_RF,Europe,288937.29000000004,302632.11597010674,-10.304928123028589,288937.29000000004,31.653164932482063,38.003028302975494
Region_RF,Middle East,7499.739999999998,10480.607857734205,-1.0494254723427727,7499.739999999998,12.389098171800812,14.083302949725073
Prophet_Monthly,National,126257.02595196308,131450.42694192624,-7.719738244840025,130364.04985389626,74.13389638178181,119.45366245325464
Prophet_Income_Arrivals,Income Arrivals,48385.78546598758,57914.16658863014,-0.4730015778476302,46930.12305126415,28.80378151432581,25.032827585282497
